elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts
0,25372960,25372960,0,0,false,0,0,0,250010,0,0,0,1,0
5015,190119888,190119888,110114120,20000,true,4897615,4724375,173240,1545208,0,665,1330,1,2
10021,248534024,248534024,101476400,20000,true,6200447,5986410,214037,1997455,0,694,1388,1,2
15023,567719680,567719680,209342768,20000,true,10990995,10552162,438833,4471177,0,773,1546,1,2
20046,814809944,814809944,648385584,20000,true,14910519,14372546,537973,6392976,0,807,1614,1,2
25066,853080248,853080248,849980944,20000,true,17772217,17029139,743078,6717093,0,833,1666,1,2
30083,979885120,979885120,928905080,20000,true,21452106,20572394,879712,7716272,0,904,1808,1,2
35102,1271569480,1271569480,1090502648,20000,true,26391353,25328199,1063154,9982144,0,981,1962,1,2
40122,1354381592,1354381592,1259141536,20000,true,32083394,30779262,1304132,10682072,0,1108,2216,1,2
45127,1497046568,1497046568,1415222096,20000,true,37444258,35968289,1475969,11822594,0,1418,2836,1,2
50127,1637235504,1637235504,1503151360,20000,true,42901221,41234454,1666767,12940045,0,1625,3249,1,2
55149,1795553360,1795553360,1753977432,20000,true,48423578,46516280,1907298,14192308,0,1776,3551,1,2
60168,2013825520,2013825520,1886259720,20000,true,54059255,51951213,2108042,15905394,0,1952,3903,1,2
65189,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,16950686,640,2637,3993,40,2
70205,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,16998422,640,2637,3993,40,2
75210,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17047255,66192,68173,3993,4097,2
80234,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17096415,131744,133709,3993,4097,2
85254,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17144576,131744,133709,3993,4097,2
90274,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17193760,197296,199245,3993,4097,2
95294,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17242947,262848,264781,3993,4097,2
100296,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17291590,328400,330317,3993,4097,2
105300,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17339463,328400,330317,3993,4097,2
110321,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17388595,393952,395853,3993,4097,2
115339,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17437781,459504,461389,3993,4097,2
132771,2147483648,2147483648,2051873656,20000,true,57148219,54869445,2278774,17604299,656160,657997,3993,4097,2
