elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18188480,18188480,0,0,false,0,0,0,250006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,4400000,8800176,2800000,798760,0,0,0
5014,21507712,21507712,0,0,false,0,0,0,289223,0,0,0,1,0,1516915,23241,0,0,0,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5574008,10314304,3281768,948088,0,0,0
10039,21557288,21557288,0,0,false,0,0,0,289855,0,0,0,1,0,3023607,38494,0,0,0,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5617744,10314304,3281768,953928,0,0,0
15051,21572456,21572456,0,0,false,0,0,0,290026,0,0,0,1,0,4495074,61072,0,0,0,5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5632704,10314304,3281768,954136,0,0,0
20064,21605640,21605640,0,0,false,0,0,0,290370,0,0,0,1,0,6017782,69006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5653824,10323456,3284680,954136,0,0,0
25078,21668832,21668832,0,0,false,0,0,0,291001,0,0,0,1,0,7550777,76753,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5668520,10359184,3296048,955536,0,0,0
30091,21682032,21682032,0,0,false,0,0,0,291151,0,0,0,1,0,9105850,99391,0,0,0,5924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5681720,10359184,3296048,955536,0,0,0
35104,21691536,21691536,0,0,false,0,0,0,291259,0,0,0,1,0,10678443,147145,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5691224,10359184,3296048,955536,0,0,0
40122,21700248,21700248,0,0,false,0,0,0,291358,0,0,0,1,0,12208159,162345,0,0,0,3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5699936,10359184,3296048,955536,0,0,0
45127,21704208,21704208,0,0,false,0,0,0,291403,0,0,0,1,0,13611553,162346,0,0,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5703896,10359184,3296048,955536,0,0,0
50142,21705528,21705528,0,0,false,0,0,0,291418,0,0,0,1,0,15067584,199223,0,0,0,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5705216,10359184,3296048,955536,0,0,0
55155,21709312,21709312,0,0,false,0,0,0,291461,0,0,0,1,0,16519111,227801,0,0,0,5294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5709000,10359184,3296048,955536,0,0,0
60170,21712040,21712040,0,0,false,0,0,0,291492,0,0,0,1,0,17904398,241136,0,0,0,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5711728,10359184,3296048,955536,0,0,0
65184,21715296,21715296,0,0,false,0,0,0,291529,0,0,0,1,0,19348240,247417,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5714984,10359184,3296048,955536,0,0,0
70206,21721720,21721720,0,0,false,0,0,0,291602,0,0,0,1,0,20943357,280514,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5721408,10359184,3296048,955536,0,0,0
75209,21725064,21725064,0,0,false,0,0,0,291640,0,0,0,1,0,22393183,309358,0,0,0,6738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5724752,10359184,3296048,955536,0,0,0
80222,21728232,21728232,0,0,false,0,0,0,291676,0,0,0,1,0,23956754,332839,0,0,0,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5727920,10359184,3296048,955536,0,0,0
85236,21730784,21730784,0,0,false,0,0,0,291705,0,0,0,1,0,25474026,380006,0,0,0,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5730472,10359184,3296048,955536,0,0,0
90251,21736152,21736152,0,0,false,0,0,0,291766,0,0,0,1,0,27031138,395522,0,0,0,4249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5735840,10359184,3296048,955536,0,0,0
95264,21779592,21779592,0,0,false,0,0,0,292359,0,0,0,1,0,28608223,427451,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5742968,10381888,3303272,961920,0,0,0
100287,21781616,21781616,0,0,false,0,0,0,292382,0,0,0,1,0,30163397,443355,0,0,0,6844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5744992,10381888,3303272,961920,0,0,0
105312,21782056,21782056,0,0,false,0,0,0,292387,0,0,0,1,0,31658317,465900,0,0,0,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5745432,10381888,3303272,961920,0,0,0
110327,21782848,21782848,0,0,false,0,0,0,292396,0,0,0,1,0,33071060,487697,0,0,0,4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5746224,10381888,3303272,961920,0,0,0
115341,21786824,21786824,0,0,false,0,0,0,292438,0,0,0,1,0,34590143,495460,0,0,0,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5749040,10382768,3303552,961920,0,0,0
120052,21808384,21808384,0,0,false,0,0,0,292634,0,0,0,1,0,35997473,503266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5752736,10396320,3307864,961920,0,0,0
