elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18188480,18188480,0,0,false,0,0,0,250006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,4400000,8800176,2800000,798760,0,0,0
5013,21653592,21653592,0,0,false,0,0,0,291037,0,0,0,1,0,1596467,0,0,0,0,6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5622232,10382416,3303440,955960,0,0,0
10027,21733544,21733544,0,0,false,0,0,0,291876,0,0,0,1,0,3203102,16914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5668344,10405296,3310720,959640,0,0,0
15041,21752848,21752848,0,0,false,0,0,0,292094,0,0,0,1,0,4792379,24646,0,0,0,3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5687440,10405296,3310720,959848,0,0,0
20056,21766928,21766928,0,0,false,0,0,0,292254,0,0,0,1,0,6386840,41205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5701520,10405296,3310720,959848,0,0,0
25061,21776344,21776344,0,0,false,0,0,0,292361,0,0,0,1,0,7916324,49420,0,0,0,3696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5710936,10405296,3310720,959848,0,0,0
30075,21785144,21785144,0,0,false,0,0,0,292461,0,0,0,1,0,9506584,65754,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5719736,10405296,3310720,959848,0,0,0
35089,21790776,21790776,0,0,false,0,0,0,292525,0,0,0,1,0,11061972,81724,0,0,0,7457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5725368,10405296,3310720,959848,0,0,0
40102,21798248,21798248,0,0,false,0,0,0,292611,0,0,0,1,0,12666841,106234,0,0,0,5785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5732056,10405296,3310720,960632,0,0,0
45116,21805816,21805816,0,0,false,0,0,0,292697,0,0,0,1,0,14255649,130692,0,0,0,5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5739624,10405296,3310720,960632,0,0,0
50130,21811360,21811360,0,0,false,0,0,0,292760,0,0,0,1,0,15854495,147243,0,0,0,3917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5745168,10405296,3310720,960632,0,0,0
55131,21816552,21816552,0,0,false,0,0,0,292819,0,0,0,1,0,17395580,163711,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5750360,10405296,3310720,960632,0,0,0
60155,21819192,21819192,0,0,false,0,0,0,292849,0,0,0,1,0,18998230,195950,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5753000,10405296,3310720,960632,0,0,0
65167,21823768,21823768,0,0,false,0,0,0,292901,0,0,0,1,0,20582132,228641,0,0,0,7937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5757576,10405296,3310720,960632,0,0,0
70181,21827288,21827288,0,0,false,0,0,0,292941,0,0,0,1,0,22155955,236706,0,0,0,5709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5761096,10405296,3310720,960632,0,0,0
75195,21830808,21830808,0,0,false,0,0,0,292981,0,0,0,1,0,23717942,252671,0,0,0,5947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5764616,10405296,3310720,960632,0,0,0
80208,21833888,21833888,0,0,false,0,0,0,293016,0,0,0,1,0,25310608,268768,0,0,0,4857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5767696,10405296,3310720,960632,0,0,0
85213,21837496,21837496,0,0,false,0,0,0,293057,0,0,0,1,0,26848327,276788,0,0,0,6570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5771304,10405296,3310720,960632,0,0,0
90229,21841264,21841264,0,0,false,0,0,0,293100,0,0,0,1,0,28450275,309591,0,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5774912,10405296,3310720,960792,0,0,0
95243,21845312,21845312,0,0,false,0,0,0,293146,0,0,0,1,0,30041451,333589,0,0,0,2590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5778960,10405296,3310720,960792,0,0,0
100257,21848744,21848744,0,0,false,0,0,0,293185,0,0,0,1,0,31625139,342019,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5782392,10405296,3310720,960792,0,0,0
105272,21850680,21850680,0,0,false,0,0,0,293207,0,0,0,1,0,33197585,366944,0,0,0,8036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5784328,10405296,3310720,960792,0,0,0
110286,21852968,21852968,0,0,false,0,0,0,293233,0,0,0,1,0,34799545,383057,0,0,0,6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5786616,10405296,3310720,960792,0,0,0
115296,21855080,21855080,0,0,false,0,0,0,293257,0,0,0,1,0,36338733,407745,0,0,0,2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5788728,10405296,3310720,960792,0,0,0
120313,21856400,21856400,0,0,false,0,0,0,293272,0,0,0,1,0,37907591,432037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5790048,10405296,3310720,960792,0,0,0
125326,21857016,21857016,0,0,false,0,0,0,293279,0,0,0,1,0,39437959,455058,0,0,0,5990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5790664,10405296,3310720,960792,0,0,0
130340,21858336,21858336,0,0,false,0,0,0,293294,0,0,0,1,0,41001392,478985,0,0,0,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5791984,10405296,3310720,960792,0,0,0
135354,21859216,21859216,0,0,false,0,0,0,293304,0,0,0,1,0,42549732,493713,0,0,0,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5792864,10405296,3310720,960792,0,0,0
140368,21860008,21860008,0,0,false,0,0,0,293313,0,0,0,1,0,44131894,501914,0,0,0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5793656,10405296,3310720,960792,0,0,0
145375,21861768,21861768,0,0,false,0,0,0,293333,0,0,0,1,0,45619510,509532,0,0,0,4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5795416,10405296,3310720,960792,0,0,0
150392,21862208,21862208,0,0,false,0,0,0,293338,0,0,0,1,0,47118306,518105,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5795856,10405296,3310720,960792,0,0,0
155406,21862824,21862824,0,0,false,0,0,0,293345,0,0,0,1,0,48652412,556674,0,0,0,6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5796472,10405296,3310720,960792,0,0,0
160420,21863528,21863528,0,0,false,0,0,0,293353,0,0,0,1,0,50121488,580190,0,0,0,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5797176,10405296,3310720,960792,0,0,0
165435,21864056,21864056,0,0,false,0,0,0,293359,0,0,0,1,0,51549163,616681,0,0,0,6433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5797704,10405296,3310720,960792,0,0,0
170450,21865288,21865288,0,0,false,0,0,0,293373,0,0,0,1,0,53094059,639972,0,0,0,5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5798936,10405296,3310720,960792,0,0,0
175451,21866520,21866520,0,0,false,0,0,0,293387,0,0,0,1,0,54542692,654629,0,0,0,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5800168,10405296,3310720,960792,0,0,0
180469,21867400,21867400,0,0,false,0,0,0,293397,0,0,0,1,0,55932587,654629,0,0,0,3714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5801048,10405296,3310720,960792,0,0,0
185485,21868368,21868368,0,0,false,0,0,0,293408,0,0,0,1,0,57306716,674654,0,0,0,5603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5802016,10405296,3310720,960792,0,0,0
190500,21869384,21869384,0,0,false,0,0,0,293418,0,0,0,1,0,58745001,688130,0,0,0,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5802808,10405296,3310720,961016,0,0,0
195515,21869560,21869560,0,0,false,0,0,0,293420,0,0,0,1,0,60135445,703883,0,0,0,7518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5802984,10405296,3310720,961016,0,0,0
200529,21869912,21869912,0,0,false,0,0,0,293424,0,0,0,1,0,61650025,742240,0,0,0,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5803336,10405296,3310720,961016,0,0,0
205550,21869912,21869912,0,0,false,0,0,0,293424,0,0,0,1,0,63042132,764484,0,0,0,6208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5803336,10405296,3310720,961016,0,0,0
210567,21870352,21870352,0,0,false,0,0,0,293429,0,0,0,1,0,64523628,788735,0,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5803776,10405296,3310720,961016,0,0,0
215580,21870616,21870616,0,0,false,0,0,0,293432,0,0,0,1,0,66029104,810264,0,0,0,7108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5804040,10405296,3310720,961016,0,0,0
220595,21871496,21871496,0,0,false,0,0,0,293442,0,0,0,1,0,67567098,826148,0,0,0,4572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5804920,10405296,3310720,961016,0,0,0
225610,21873080,21873080,0,0,false,0,0,0,293460,0,0,0,1,0,69073360,833895,0,0,0,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306880,5806504,10405296,3310720,961016,0,0,0
