elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,20160704,20160704,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,4400000,8800176,2800000,804592,0,0,0
5008,32098448,32098448,0,0,false,0,0,0,387793,0,0,0,1,1,2945863,1752172,0,0,0,4602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,13391664,10886832,3463936,1000080,0,0,0
10031,33127984,33127984,0,0,false,0,0,0,399640,0,0,0,1,1,5976076,3546855,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,14096280,11114400,3536344,1025024,0,0,0
15038,33461328,33461328,0,0,false,0,0,0,403428,0,0,0,1,1,8949152,5297802,0,0,0,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,14429624,11114400,3536344,1025024,0,0,0
20062,33650336,33650336,0,0,false,0,0,0,405693,0,0,0,1,1,11975380,7090984,0,0,0,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,14454352,11230736,3573360,1035952,0,0,0
25075,34552952,34552952,0,0,false,0,0,0,415950,0,0,0,1,1,14909292,8813180,0,0,0,6788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15356968,11230736,3573360,1035952,0,0,0
30089,34552952,34552952,0,0,false,0,0,0,415950,0,0,0,1,1,17931559,10591360,0,0,0,2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15356968,11230736,3573360,1035952,0,0,0
35104,34553216,34553216,0,0,false,0,0,0,415953,0,0,0,1,1,20845521,12313797,0,0,0,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15357232,11230736,3573360,1035952,0,0,0
40118,34553216,34553216,0,0,false,0,0,0,415953,0,0,0,1,1,23861219,14083048,0,0,0,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15357232,11230736,3573360,1035952,0,0,0
45140,34714432,34714432,0,0,false,0,0,0,417785,0,0,0,1,1,26869529,15849939,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15518448,11230736,3573360,1035952,0,0,0
50140,34733616,34733616,0,0,false,0,0,0,418003,0,0,0,1,1,29871715,17604923,0,0,0,5659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15537632,11230736,3573360,1035952,0,0,0
