elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,20156416,20156416,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,4400000,8800176,2800000,800344,0,0,0
5017,33377728,33377728,0,0,false,0,0,0,402450,0,0,0,1,1,3094084,1851819,0,0,0,4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,14512696,11001584,3500448,1007104,0,0,0
10031,34393376,34393376,0,0,false,0,0,0,413990,0,0,0,1,1,6072545,3620278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,15528040,11001584,3500448,1007408,0,0,0
15046,34670736,34670736,0,0,false,0,0,0,417141,0,0,0,1,1,9011150,5368596,0,0,0,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,15805240,11001584,3500448,1007568,0,0,0
20070,35068664,35068664,0,0,false,0,0,0,421662,0,0,0,1,1,11709914,6987802,0,0,0,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16203000,11001584,3500448,1007736,0,0,0
25085,35126576,35126576,0,0,false,0,0,0,422319,0,0,0,1,1,14566062,8712073,0,0,0,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16260728,11001584,3500448,1007920,0,0,0
30098,35377600,35377600,0,0,false,0,0,0,425170,0,0,0,1,1,17572886,10504139,0,0,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16511528,11001584,3500448,1008144,0,0,0
35112,35458640,35458640,0,0,false,0,0,0,426114,0,0,0,1,1,20476773,12231265,0,0,0,6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16535112,11041712,3513216,1012704,0,0,0
40127,35575856,35575856,0,0,false,0,0,0,427446,0,0,0,1,1,23556008,14082245,0,0,0,7172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16652328,11041712,3513216,1012704,0,0,0
45137,35667888,35667888,0,0,false,0,0,0,428518,0,0,0,1,1,26561008,15877014,0,0,0,7604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16709704,11066352,3521056,1014880,0,0,0
50159,35671496,35671496,0,0,false,0,0,0,428559,0,0,0,1,1,29575095,17680021,0,0,0,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16713312,11066352,3521056,1014880,0,0,0
55172,35742816,35742816,0,0,false,0,0,0,429418,0,0,0,1,1,32502817,19439037,0,0,0,3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16719384,11112640,3535784,1019112,0,0,0
60185,35847800,35847800,0,0,false,0,0,0,430611,0,0,0,1,1,35510136,21249781,0,0,0,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16824368,11112640,3535784,1019112,0,0,0
65200,36103728,36103728,0,0,false,0,0,0,433704,0,0,0,1,1,38480304,23035998,0,0,0,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16829736,11290576,3592400,1035120,0,0,0
70214,36113760,36113760,0,0,false,0,0,0,433818,0,0,0,1,1,41548085,24874162,0,0,0,6173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16839768,11290576,3592400,1035120,0,0,0
75236,36113760,36113760,0,0,false,0,0,0,433818,0,0,0,1,1,44588694,26699856,0,0,0,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16839768,11290576,3592400,1035120,0,0,0
80241,36115360,36115360,0,0,false,0,0,0,433840,0,0,0,1,1,47641935,28539585,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16840560,11290576,3592400,1035928,0,0,0
85256,36123632,36123632,0,0,false,0,0,0,433934,0,0,0,1,1,50536185,30269597,0,0,0,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16848832,11290576,3592400,1035928,0,0,0
90270,36128560,36128560,0,0,false,0,0,0,433990,0,0,0,1,1,53525256,32046126,0,0,0,2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16853760,11290576,3592400,1035928,0,0,0
95283,36129792,36129792,0,0,false,0,0,0,434004,0,0,0,1,1,56596474,33893658,0,0,0,7314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16854992,11290576,3592400,1035928,0,0,0
100297,36129792,36129792,0,0,false,0,0,0,434004,0,0,0,1,1,59679389,35742106,0,0,0,6679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16854992,11290576,3592400,1035928,0,0,0
105306,36133136,36133136,0,0,false,0,0,0,434042,0,0,0,1,1,62706735,37563366,0,0,0,5327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16858336,11290576,3592400,1035928,0,0,0
110328,36133136,36133136,0,0,false,0,0,0,434042,0,0,0,1,1,65697726,39342663,0,0,0,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16858336,11290576,3592400,1035928,0,0,0
115341,36277720,36277720,0,0,false,0,0,0,435685,0,0,0,1,1,68597796,41065502,0,0,0,5581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17002920,11290576,3592400,1035928,0,0,0
120104,36277720,36277720,0,0,false,0,0,0,435685,0,0,0,1,1,71177640,42616659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17002920,11290576,3592400,1035928,0,0,0
