elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18255872,18255872,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,4400000,8800176,2800000,800344,0,0,0
5015,31814088,31814088,0,0,false,0,0,0,406200,0,0,0,1,1,3264018,1955035,0,0,0,6431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,14877192,10978704,3493168,1009672,0,0,0
10027,31983888,31983888,0,0,false,0,0,0,408209,0,0,0,1,1,6492611,3876991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,14931576,11059840,3518984,1018136,0,0,0
15041,32944040,32944040,0,0,false,0,0,0,419119,0,0,0,1,1,9697778,5778060,0,0,0,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,15891568,11059840,3518984,1018296,0,0,0
20053,33025968,33025968,0,0,false,0,0,0,420048,0,0,0,1,1,12830835,7638437,0,0,0,6433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,15973144,11059840,3518984,1018648,0,0,0
25063,33025968,33025968,0,0,false,0,0,0,420048,0,0,0,1,1,15966179,9486050,0,0,0,4820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,15973144,11059840,3518984,1018648,0,0,0
30081,33164848,33164848,0,0,false,0,0,0,421621,0,0,0,1,1,19159480,11393598,0,0,0,7090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16103296,11066000,3520944,1019256,0,0,0
35096,33322016,33322016,0,0,false,0,0,0,423407,0,0,0,1,1,22302401,13259696,0,0,0,5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16260464,11066000,3520944,1019256,0,0,0
40109,33473032,33473032,0,0,false,0,0,0,425236,0,0,0,1,1,25540943,15203587,0,0,0,5711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16260552,11173184,3555048,1028896,0,0,0
45122,33536392,33536392,0,0,false,0,0,0,425956,0,0,0,1,1,28697271,17085675,0,0,0,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16323912,11173184,3555048,1028896,0,0,0
50136,33621048,33621048,0,0,false,0,0,0,426918,0,0,0,1,1,31642216,18834206,0,0,0,7153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16408568,11173184,3555048,1028896,0,0,0
55153,33910744,33910744,0,0,false,0,0,0,430210,0,0,0,1,1,34674309,20658416,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16698264,11173184,3555048,1028896,0,0,0
60164,34598024,34598024,0,0,false,0,0,0,438020,0,0,0,1,1,37488163,22321919,0,0,0,6689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17385544,11173184,3555048,1028896,0,0,0
65182,34615448,34615448,0,0,false,0,0,0,438218,0,0,0,1,1,40343401,24036298,0,0,0,3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17402968,11173184,3555048,1028896,0,0,0
70196,34615448,34615448,0,0,false,0,0,0,438218,0,0,0,1,1,43509733,25923325,0,0,0,2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17402968,11173184,3555048,1028896,0,0,0
75211,34616328,34616328,0,0,false,0,0,0,438245,0,0,0,1,1,46655156,27803330,0,0,0,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17402968,11173184,3555048,1029776,0,0,0
80225,34616328,34616328,0,0,false,0,0,0,438245,0,0,0,1,1,49873327,29735774,0,0,0,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17402968,11173184,3555048,1029776,0,0,0
85250,34620024,34620024,0,0,false,0,0,0,438287,0,0,0,1,1,53048410,31640492,0,0,0,3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17406664,11173184,3555048,1029776,0,0,0
90270,34620200,34620200,0,0,false,0,0,0,438289,0,0,0,1,1,56157842,33480674,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17406840,11173184,3555048,1029776,0,0,0
95287,34620200,34620200,0,0,false,0,0,0,438289,0,0,0,1,1,59237961,35299164,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17406840,11173184,3555048,1029776,0,0,0
100301,34620640,34620640,0,0,false,0,0,0,438294,0,0,0,1,1,62409596,37186493,0,0,0,7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17407280,11173184,3555048,1029776,0,0,0
105315,34621080,34621080,0,0,false,0,0,0,438299,0,0,0,1,1,65574465,39087475,0,0,0,8878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17407720,11173184,3555048,1029776,0,0,0
110328,34624600,34624600,0,0,false,0,0,0,438339,0,0,0,1,1,68782629,41010148,0,0,0,10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17411240,11173184,3555048,1029776,0,0,0
115328,34625568,34625568,0,0,false,0,0,0,438350,0,0,0,1,1,71923213,42888030,0,0,0,2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17412208,11173184,3555048,1029776,0,0,0
120109,34625568,34625568,0,0,false,0,0,0,438350,0,0,0,1,1,74776839,44571481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17412208,11173184,3555048,1029776,0,0,0
