elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18255872,18255872,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,4400000,8800176,2800000,800344,0,0,0
5013,32616408,32616408,0,0,false,0,0,0,415053,0,0,0,1,1,2949630,1776871,0,0,0,4533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16078304,10697104,3403568,982080,0,0,0
10027,32676608,32676608,0,0,false,0,0,0,415735,0,0,0,1,1,5860695,3506110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16137968,10697104,3403568,982616,0,0,0
15041,32745688,32745688,0,0,false,0,0,0,416522,0,0,0,1,1,8794374,5244137,0,0,0,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16191472,10708016,3407040,983808,0,0,0
20055,33210336,33210336,0,0,false,0,0,0,422104,0,0,0,1,1,11923890,7109157,0,0,0,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16244448,11000176,3500000,1010360,0,0,0
25078,33256544,33256544,0,0,false,0,0,0,422628,0,0,0,1,1,15030752,8975970,0,0,0,9844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16290472,11000176,3500000,1010544,0,0,0
30094,33352288,33352288,0,0,false,0,0,0,423727,0,0,0,1,1,18052839,10768956,0,0,0,7666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16359024,11018480,3505824,1013608,0,0,0
35108,33388104,33388104,0,0,false,0,0,0,424134,0,0,0,1,1,21102098,12582854,0,0,0,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16394840,11018480,3505824,1013608,0,0,0
40121,33462816,33462816,0,0,false,0,0,0,424983,0,0,0,1,1,24225261,14459254,0,0,0,4677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16469552,11018480,3505824,1013608,0,0,0
45135,33531280,33531280,0,0,false,0,0,0,425761,0,0,0,1,1,27344633,16329310,0,0,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16538016,11018480,3505824,1013608,0,0,0
