elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18194432,18194432,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,4400000,8800176,2800000,800344,0,0,0
5007,21562632,21562632,0,0,false,0,0,0,289682,0,0,0,1,1,2551329,1274090,0,0,0,6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5742088,10228944,3254608,943080,0,0,0
10020,21652648,21652648,0,0,false,0,0,0,290677,0,0,0,1,1,5201845,2579515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5782216,10264672,3265976,945872,0,0,0
15034,21678504,21678504,0,0,false,0,0,0,290970,0,0,0,1,1,7886650,3917254,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5807912,10264672,3265976,946032,0,0,0
20049,21696280,21696280,0,0,false,0,0,0,291170,0,0,0,1,1,10352716,5140155,0,0,0,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5825336,10264672,3265976,946384,0,0,0
25064,21719248,21719248,0,0,false,0,0,0,291431,0,0,0,1,1,12937056,6433496,0,0,0,3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5848304,10264672,3265976,946384,0,0,0
30067,21727920,21727920,0,0,false,0,0,0,291528,0,0,0,1,1,15537135,7708231,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5856752,10264672,3265976,946608,0,0,0
35071,21733024,21733024,0,0,false,0,0,0,291586,0,0,0,1,1,18026092,8924892,0,0,0,4931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5861856,10264672,3265976,946608,0,0,0
40086,21743056,21743056,0,0,false,0,0,0,291700,0,0,0,1,1,20592453,10186864,0,0,0,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5871888,10264672,3265976,946608,0,0,0
45101,21748688,21748688,0,0,false,0,0,0,291764,0,0,0,1,1,23130451,11446046,0,0,0,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5877520,10264672,3265976,946608,0,0,0
50115,21757048,21757048,0,0,false,0,0,0,291859,0,0,0,1,1,25671735,12728573,0,0,0,6145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5885880,10264672,3265976,946608,0,0,0
55128,21763296,21763296,0,0,false,0,0,0,291930,0,0,0,1,1,28266628,14028159,0,0,0,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5892128,10264672,3265976,946608,0,0,0
60129,21766816,21766816,0,0,false,0,0,0,291970,0,0,0,1,1,30735353,15245086,0,0,0,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5895648,10264672,3265976,946608,0,0,0
65134,21772536,21772536,0,0,false,0,0,0,292035,0,0,0,1,1,33293881,16481033,0,0,0,4906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5901368,10264672,3265976,946608,0,0,0
70149,21776760,21776760,0,0,false,0,0,0,292083,0,0,0,1,1,35818096,17732170,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311168,5905592,10264672,3265976,946608,0,0,0
