elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,20160704,20160704,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,4400000,8800176,2800000,804592,0,0,0
5013,33651760,33651760,0,0,false,0,0,0,405422,0,0,0,1,1,2795216,1685621,0,0,0,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,14896992,10919744,3474408,1004680,0,0,0
10026,34009744,34009744,0,0,false,0,0,0,409581,0,0,0,1,1,5694214,3424608,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,15236760,10928368,3477152,1011528,0,0,0
15039,35082112,35082112,0,0,false,0,0,0,421767,0,0,0,1,1,8337716,4998036,0,0,0,6884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16309128,10928368,3477152,1011528,0,0,0
20053,35082112,35082112,0,0,false,0,0,0,421767,0,0,0,1,1,11037818,6606078,0,0,0,5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16309128,10928368,3477152,1011528,0,0,0
25066,35082288,35082288,0,0,false,0,0,0,421769,0,0,0,1,1,13693399,8182992,0,0,0,7023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16309304,10928368,3477152,1011528,0,0,0
30080,35230328,35230328,0,0,false,0,0,0,423438,0,0,0,1,1,16487536,9842746,0,0,0,7140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16309480,11035024,3511088,1018800,0,0,0
35094,35231384,35231384,0,0,false,0,0,0,423450,0,0,0,1,1,19341792,11538596,0,0,0,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16310536,11035024,3511088,1018800,0,0,0
40107,35231384,35231384,0,0,false,0,0,0,423450,0,0,0,1,1,22181673,13214642,0,0,0,7856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16310536,11035024,3511088,1018800,0,0,0
45121,35231384,35231384,0,0,false,0,0,0,423450,0,0,0,1,1,25033898,14927660,0,0,0,5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16310536,11035024,3511088,1018800,0,0,0
50135,35231384,35231384,0,0,false,0,0,0,423450,0,0,0,1,1,27824239,16597244,0,0,0,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16310536,11035024,3511088,1018800,0,0,0
55149,35233232,35233232,0,0,false,0,0,0,423471,0,0,0,1,1,30430034,18161449,0,0,0,2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273216,16312384,11035024,3511088,1018800,0,0,0
