elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,20156416,20156416,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,4400000,8800176,2800000,800344,0,0,0
5012,35988800,35988800,0,0,false,0,0,0,432160,0,0,0,1,1,3131486,1874340,0,0,0,6906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,16995440,11089408,3528392,1019664,0,0,0
10026,36103680,36103680,0,0,false,0,0,0,433464,0,0,0,1,1,6173658,3698261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17110016,11089408,3528392,1019968,0,0,0
15039,36501512,36501512,0,0,false,0,0,0,437984,0,0,0,1,1,9048709,5408887,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17507688,11089408,3528392,1020128,0,0,0
20052,36684208,36684208,0,0,false,0,0,0,440188,0,0,0,1,1,12189780,7280784,0,0,0,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17507688,11218944,3569608,1032072,0,0,0
25066,36684656,36684656,0,0,false,0,0,0,440192,0,0,0,1,1,15321329,9147153,0,0,0,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17507952,11218944,3569608,1032256,0,0,0
30079,36685320,36685320,0,0,false,0,0,0,440198,0,0,0,1,1,18436012,11012193,0,0,0,4978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17508392,11218944,3569608,1032480,0,0,0
35093,36685320,36685320,0,0,false,0,0,0,440198,0,0,0,1,1,21404437,12811521,0,0,0,1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17508392,11218944,3569608,1032480,0,0,0
40106,36686200,36686200,0,0,false,0,0,0,440208,0,0,0,1,1,24247743,14505128,0,0,0,6078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17509272,11218944,3569608,1032480,0,0,0
45119,36686640,36686640,0,0,false,0,0,0,440213,0,0,0,1,1,27245612,16302573,0,0,0,8132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17509712,11218944,3569608,1032480,0,0,0
50132,36719464,36719464,0,0,false,0,0,0,440586,0,0,0,1,1,30219450,18076403,0,0,0,5328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17542536,11218944,3569608,1032480,0,0,0
55146,36758800,36758800,0,0,false,0,0,0,441033,0,0,0,1,1,33106560,19808919,0,0,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17581872,11218944,3569608,1032480,0,0,0
60159,36758800,36758800,0,0,false,0,0,0,441033,0,0,0,1,1,36254332,21690259,0,0,0,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17581872,11218944,3569608,1032480,0,0,0
65173,36766456,36766456,0,0,false,0,0,0,441120,0,0,0,1,1,39381279,23563231,0,0,0,7177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273152,17589528,11218944,3569608,1032480,0,0,0
