elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18255872,18255872,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,4400000,8800176,2800000,800344,0,0,0
5012,33556592,33556592,0,0,false,0,0,0,425910,0,0,0,1,1,3133551,1864473,0,0,0,6049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16823576,10837376,3448200,992088,0,0,0
10026,33556896,33556896,0,0,false,0,0,0,425912,0,0,0,1,1,6174501,3643056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16823576,10837376,3448200,992392,0,0,0
15040,33558072,33558072,0,0,false,0,0,0,425930,0,0,0,1,1,9288073,5498482,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16823752,10837376,3448200,993392,0,0,0
20054,34095064,34095064,0,0,false,0,0,0,432374,0,0,0,1,1,12446558,7384847,0,0,0,6087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16872680,11183920,3558464,1024648,0,0,0
25074,34095248,34095248,0,0,false,0,0,0,432375,0,0,0,1,1,15480079,9196528,0,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16872680,11183920,3558464,1024832,0,0,0
30079,34096440,34096440,0,0,false,0,0,0,432387,0,0,0,1,1,18568727,11040173,0,0,0,3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16873648,11183920,3558464,1025056,0,0,0
35092,34103688,34103688,0,0,false,0,0,0,432505,0,0,0,1,1,21612371,12847283,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16879104,11183920,3558464,1026848,0,0,0
40107,34103688,34103688,0,0,false,0,0,0,432505,0,0,0,1,1,24689180,14673633,0,0,0,7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16879104,11183920,3558464,1026848,0,0,0
45121,34103688,34103688,0,0,false,0,0,0,432505,0,0,0,1,1,27781628,16516903,0,0,0,5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,16879104,11183920,3558464,1026848,0,0,0
50136,34526352,34526352,0,0,false,0,0,0,437308,0,0,0,1,1,30903233,18385844,0,0,0,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17301768,11183920,3558464,1026848,0,0,0
55150,34526352,34526352,0,0,false,0,0,0,437308,0,0,0,1,1,33849401,20128325,0,0,0,6169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17301768,11183920,3558464,1026848,0,0,0
60150,34582224,34582224,0,0,false,0,0,0,437933,0,0,0,1,1,36974160,22019251,0,0,0,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17303176,11222992,3570896,1029808,0,0,0
65164,34582752,34582752,0,0,false,0,0,0,437939,0,0,0,1,1,40040101,23852905,0,0,0,4197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17303704,11222992,3570896,1029808,0,0,0
70179,34714752,34714752,0,0,false,0,0,0,439439,0,0,0,1,1,43150912,25703439,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17435704,11222992,3570896,1029808,0,0,0
75193,34714752,34714752,0,0,false,0,0,0,439439,0,0,0,1,1,46208066,27511682,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17435704,11222992,3570896,1029808,0,0,0
80206,34721528,34721528,0,0,false,0,0,0,439516,0,0,0,1,1,49315459,29374110,0,0,0,5552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442480,11222992,3570896,1029808,0,0,0
85207,34721528,34721528,0,0,false,0,0,0,439516,0,0,0,1,1,52277643,31145454,0,0,0,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442480,11222992,3570896,1029808,0,0,0
90229,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,55376963,32997397,0,0,0,10517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
95243,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,58413483,34802468,0,0,0,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
100258,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,61521563,36652799,0,0,0,4529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
105272,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,64615196,38500452,0,0,0,2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
110287,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,67724156,40354849,0,0,0,6117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
115300,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,70648336,42083190,0,0,0,6907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
120082,34721704,34721704,0,0,false,0,0,0,439518,0,0,0,1,1,73492820,43768922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372608,17442656,11222992,3570896,1029808,0,0,0
