elapsed_ms,head_offset,head_peak,free_list_head_offset,free_list_depth_est,free_list_depth_truncated,free_list_pushes,free_list_pops,free_list_net,free_list_pop_misses,retry_alloc,retry_loops,retry_structural,max_insert_attempts,max_remove_attempts,gc_nodes_examined,gc_nodes_requeued,gc_recycle_errors,gc_assist_calls,gc_assist_reclaimed,retired_backlog,pressure_state,pressure_to_normal,pressure_to_warm,pressure_to_hot,alloc_failure_events,reserve_node_pushes,reserve_node_hits,reserve_node_misses,reserve_posting_pushes,reserve_posting_hits,reserve_posting_misses,reserve_tower_pushes,reserve_tower_hits,reserve_tower_misses,fresh_general_bytes,fresh_row_version_bytes,fresh_skip_node_bytes,fresh_skip_posting_bytes,fresh_skip_tower_bytes,fresh_spill_bytes,retired_postings,reclaimed_postings
0,18260160,18260160,0,0,false,0,0,0,250007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,4400000,8800176,2800000,804592,0,0,0
5013,31321040,31321040,0,0,false,0,0,0,400263,0,0,0,1,1,2953417,1739875,0,0,0,4281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,14863200,10639376,3385200,977872,0,0,0
10027,31488992,31488992,0,0,false,0,0,0,402282,0,0,0,1,1,5941689,3521428,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,14869448,10753776,3421600,988776,0,0,0
15031,32186848,32186848,0,0,false,0,0,0,410384,0,0,0,1,1,8903174,5274777,0,0,0,5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15300824,10941744,3481408,1007480,0,0,0
20041,32577232,32577232,0,0,false,0,0,0,415099,0,0,0,1,1,11931814,7085274,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15301264,11218064,3569328,1033184,0,0,0
25043,32742936,32742936,0,0,false,0,0,0,416982,0,0,0,1,1,14817243,8800210,0,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15466968,11218064,3569328,1033184,0,0,0
30059,32743112,32743112,0,0,false,0,0,0,416984,0,0,0,1,1,17797731,10581622,0,0,0,7266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15467144,11218064,3569328,1033184,0,0,0
35073,32750856,32750856,0,0,false,0,0,0,417072,0,0,0,1,1,20770295,12344954,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15474888,11218064,3569328,1033184,0,0,0
40087,32750856,32750856,0,0,false,0,0,0,417072,0,0,0,1,1,23751815,14112437,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15474888,11218064,3569328,1033184,0,0,0
45102,32751120,32751120,0,0,false,0,0,0,417075,0,0,0,1,1,26743974,15890214,0,0,0,7789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15475152,11218064,3569328,1033184,0,0,0
50106,32751736,32751736,0,0,false,0,0,0,417082,0,0,0,1,1,29762233,17688325,0,0,0,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15475768,11218064,3569328,1033184,0,0,0
55129,32751928,32751928,0,0,false,0,0,0,417083,0,0,0,1,1,32667519,19414017,0,0,0,5917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15475768,11218064,3569328,1033376,0,0,0
60146,32788008,32788008,0,0,false,0,0,0,417493,0,0,0,1,1,35642368,21181255,0,0,0,7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15511848,11218064,3569328,1033376,0,0,0
65159,32817048,32817048,0,0,false,0,0,0,417823,0,0,0,1,1,38579124,22921672,0,0,0,6589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15540888,11218064,3569328,1033376,0,0,0
70172,32819952,32819952,0,0,false,0,0,0,417856,0,0,0,1,1,41550935,24668291,0,0,0,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15543792,11218064,3569328,1033376,0,0,0
75187,32889320,32889320,0,0,false,0,0,0,418643,0,0,0,1,1,44474704,26384835,0,0,0,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15612960,11218064,3569328,1033576,0,0,0
80203,32893192,32893192,0,0,false,0,0,0,418687,0,0,0,1,1,47421744,28134631,0,0,0,5546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15616832,11218064,3569328,1033576,0,0,0
85228,32897856,32897856,0,0,false,0,0,0,418740,0,0,0,1,1,50300426,29835895,0,0,0,6791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15621496,11218064,3569328,1033576,0,0,0
90243,32907008,32907008,0,0,false,0,0,0,418844,0,0,0,1,1,53240182,31574055,0,0,0,6904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15630648,11218064,3569328,1033576,0,0,0
95256,32915720,32915720,0,0,false,0,0,0,418943,0,0,0,1,1,56199219,33346512,0,0,0,7914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15639360,11218064,3569328,1033576,0,0,0
100270,32919152,32919152,0,0,false,0,0,0,418982,0,0,0,1,1,59224971,35160131,0,0,0,6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15642792,11218064,3569328,1033576,0,0,0
105284,32927160,32927160,0,0,false,0,0,0,419073,0,0,0,1,1,62194820,36926537,0,0,0,8646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15650800,11218064,3569328,1033576,0,0,0
110300,32931120,32931120,0,0,false,0,0,0,419118,0,0,0,1,1,65203026,38730757,0,0,0,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372672,15654760,11218064,3569328,1033576,0,0,0
